TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,55.0987866145,0
0.005,53.6244209903,0
0.01,52.2241754064,0
0.015,50.8951955953,0
0.02,48.6329520348,0
0.025,39.1202788181,0
0.03,32.7201682864,0
0.035,28.1197530298,0
0.04,24.653501204,0
0.045,21.9480231306,0
0.05,19.7776243474,0
0.055,17.9978506967,0
0.06,16.5119524244,0
0.065,15.2527006432,0
0.07,14.1718957419,0
0.075,13.2341320441,0
0.08,12.4127708048,0
0.085,11.6874053831,0
0.09,11.0421357964,0
0.1,9.94409529069,0
0.11,9.04467845038,0
0.12,8.29447441192,0
0.13,7.65918525111,0
0.14,7.11428870025,0
0.15,6.64177374147,0
