TEXP (s),FREQ (fps),Error (fps)
0,38.01,8.34E-07
0.005,37.31,8.03E-07
0.01,36.62,0.00E+00
0.015,35.96,7.47E-07
0.02,35.33,7.21E-07
0.025,34.72,0.00E+00
0.03,32.73,6.18E-07
0.035,28.12,0.00E+00
0.04,24.66,3.51E-07
0.045,21.95,2.78E-07
0.05,19.78,0.00E+00
0.055,18.00,1.87E-07
0.06,16.51,1.57E-07
0.065,15.25,0.00E+00
0.07,14.17,0.00E+00
0.075,13.24,1.01E-07
0.08,12.41,0.00E+00
0.085,11.69,0.00E+00
0.09,11.04,0.00E+00
0.095,10.47,0.00E+00
0.1,9.94,5.71E-08
0.15,6.64,2.55E-08
0.2,4.99,0.00E+00
0.25,3.99,9.20E-09
0.3,3.33,6.39E-09

