TEXP (s),FREQ (fps)
1E-05,73.075873876
0.0025,71.7699554746
0.005,70.5049266728
0.0075,69.2837110462
0.01,68.1040851078
0.0125,66.9639553787
0.015,64.261727219
0.0175,55.3668100999
0.02,48.6349128348
0.0225,43.3625732947
0.025,39.1215460272
0.0275,35.6361890061
0.03,32.721054775
0.0325,30.246787776
0.035,28.1204077617
0.0375,26.2733642131
0.04,24.6540050764
0.0425,23.222675196
0.045,21.9484436765
0.0475,20.8067345241
0.05,19.7779482285
0.1,9.94416826837
0.15,6.64181026736
0.2,4.98600525552
0.25,3.99103546385
0.3,3.32710663109
