TEXP (s),FREQ (fps),Error (fps)
0.00,2.003,2.40E-04
0.05,1.983,2.35E-04
0.10,1.963,2.30E-04
0.15,1.944,2.26E-04
0.20,1.926,2.22E-04
0.25,1.907,2.17E-04
0.30,1.889,2.13E-04
0.35,1.871,2.09E-04
0.40,1.854,2.06E-04
0.45,1.837,2.02E-04
0.50,1.820,1.98E-04
0.55,1.804,1.95E-04
0.60,1.665,7.30E-06
0.65,1.537,6.22E-06
0.70,1.427,5.36E-06
0.75,1.332,4.67E-06
0.80,1.249,4.11E-06
0.85,1.176,3.64E-06
0.90,1.110,3.25E-06
0.95,1.052,2.91E-06
1.00,0.999,2.63E-06
2.00,0.500,6.58E-07
3.00,0.333,4.08E-07
4.00,0.250,1.65E-07
5.00,0.200,1.05E-07
6.00,0.167,1.02E-07
