TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,104.44,6.29773674050514E-06
0.0025,101.80,5.98308083212017E-06
0.005,99.27,5.68955595969405E-06
0.0075,96.87,5.41727757893205E-06
0.01,94.58,5.16416721638616E-06
0.0125,76.60,0
0.015,64.29,2.38601546516745E-06
0.0175,55.38,1.7710219526674E-06
0.02,48.65,1.36641488336053E-06
0.0225,43.37,1.08616906207101E-06
0.025,39.13,8.84038731487081E-07
0.0275,35.64,0
0.03,32.73,6.18399874242218E-07
0.0325,30.25,0
0.035,28.13,4.56684061743159E-07
0.0375,26.28,3.9866036206776E-07
0.04,24.66,0
0.0425,23.23,3.1148047036031E-07
0.045,21.95,0
0.0475,20.81,2.49992666731992E-07
0.05,19.78,2.25859425534232E-07
0.06,16.51,0
0.07,14.17,1.15989669447003E-07
0.08,12.41,8.89696766644447E-08
0.09,11.04,7.03789974839192E-08
0.1,9.94,0
0.11,9.05,4.7233025840951E-08
0.12,8.29,3.97274717204736E-08
0.13,7.66,0
0.14,7.11,2.92196974901753E-08
0.15,6.64,0
